item,correct_strict_v1,correct_strict_v2_display_primary,span_entropy,perception_entropy,model_span,truth_span,model_span_norm,truth_span_norm,model_label,truth_label,model_tier,truth_tier,is_mcq,sympy_match,sympy_partial_parse_risk,sympy_malformed_derivative,multi_answer_collapse,mcq_option,tiny_valid_mcq,tiny_suspicious_non_mcq,multi_value_answer,set_answer,system_answer,derivative_equation,text_conclusion,rules_disagree,priority,final_label,confidence,note
80,False,False,1.3321790402101223,1.3321790402101223,= \frac{11}{4} \log \left|\frac{x+3}{x+1}\right| + \frac{5}{2(x+1)} + C,= \frac{11}{4} \log \left| \frac{\textcolor{red}{x+3}}{\textcolor{red}{x+1}} \right| + \frac{5}{2(x+1)} + C,=\frac {11}{4} \log |\frac {x+3}{x+1} |+\frac {5}{2(x+1)}+c,=\frac {11}{4} \log | \frac {x+3}{x+1} |+\frac {5}{2(x+1)}+c,text:= \frac{11}{4} \log |\frac{x+3}{x+1}| + \frac{5}{2(x+1)} + c,text:= \frac{11}{4} \log | \frac{x+3}{x+1} | + \frac{5}{2(x+1)} + c,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
81,False,False,1.6094379124341005,1.6094379124341005,\frac{dA}{dt} = 2\pi (5)(4) = 40\pi \text{ cm}^2/\text{s},"r = 10 \, \text{cm}",\frac {da}{dt}=2\pi (5)(4)=40\pi cm^2/s,r=10 cm,text:\frac{da}{dt} = 2\pi (5)(4) = 40\pi cm^2/s,"sympy:eq(r, 10*(c*m))",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,True,False,False,medium,,,
87,False,False,1.6094379124341005,1.6094379124341005,\int \frac{\left(x^{4}-x\right)^{\frac{1}{4}}}{x^{5}} d x = \frac{1}{3} \int t^{4} d t = \frac{1}{3} \times \frac{4}{5} t^{\frac{5}{4}} + C = \frac{4}{15}\left(1-\frac{1}{x^{3}}\right)^{\frac{5}{4}} + C,"\int \frac{(x^4 - x)^{\frac{1}{4}}}{x^5} \, dx = \frac{1}{3} \int t^4 \, dt = \frac{1}{3} \times \frac{4}{5} t^5 + C = \frac{4}{15} \left(1 - \frac{1}{x^3}\right)^{\frac{5}{4}} + C",\int \frac { (x^{4}-x )^{\frac {1}{4}}}{x^{5}} d x=\frac {1}{3} \int t^{4} d t=\frac {1}{3}*\frac {4}{5} t^{\frac {5}{4}}+c=\frac {4}{15} (1-\frac {1}{x^{3}} )^{\frac {5}{4}}+c,\int \frac {(x^4-x)^{\frac {1}{4}}}{x^5} dx=\frac {1}{3} \int t^4 dt=\frac {1}{3}*\frac {4}{5} t^5+c=\frac {4}{15} (1-\frac {1}{x^3} )^{\frac {5}{4}}+c,text:\int \frac{(x^{4}-x)^{\frac{1}{4}}}{x^{5}} d x = \frac{1}{3} \int t^{4} d t = \frac{1}{3} \times \frac{4}{5} t^{\frac{5}{4}} + c = \frac{4}{15}(1-\frac{1}{x^{3}})^{\frac{5}{4}} + c,"text:\int \frac{(x^4 - x)^{\frac{1}{4}}}{x^5} \, dx = \frac{1}{3} \int t^4 \, dt = \frac{1}{3} \times \frac{4}{5} t^5 + c = \frac{4}{15} (1 - \frac{1}{x^3})^{\frac{5}{4}} + c",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
101,False,False,1.6094379124341005,1.6094379124341005,"Population in the beginning of 1998 = 20,000 (we treat this as the principal for the 1st year)",5 square meters},"population in the beginning of 1998=20,000 (we treat this as the principal for the 1st year)",5 square meters},"text:population in the beginning of 1998 = 20,000 (we treat this as the principal for the 1st year)",text:5 square meters},last_line,last_line,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
111,False,False,1.6094379124341005,1.3321790402101223,\hat{b} = \frac{1}{\sqrt{14}} (2\hat{i}+3\hat{j}+\hat{k}) = \frac{2}{\sqrt{14}}\hat{i}+\frac{3}{\sqrt{14}}\hat{j}+\frac{1}{\sqrt{14}}\hat{k}.,\textcolor{red}{\hat{b}} = \frac{1}{\sqrt{14}} (2\hat{i} + 3\hat{j} + \hat{k}) = \frac{2}{\sqrt{14}} \hat{i} + \frac{3}{\sqrt{14}} \hat{j} + \frac{1}{\sqrt{14}} \hat{k}.,\hat {b}=\frac {1}{\sqrt {14}} (2\hat {i}+3\hat {j}+\hat {k})=\frac {2}{\sqrt {14}}\hat {i}+\frac {3}{\sqrt {14}}\hat {j}+\frac {1}{\sqrt {14}}\hat {k},\hat {b}=\frac {1}{\sqrt {14}} (2\hat {i}+3\hat {j}+\hat {k})=\frac {2}{\sqrt {14}} \hat {i}+\frac {3}{\sqrt {14}} \hat {j}+\frac {1}{\sqrt {14}} \hat {k},text:\hat{b} = \frac{1}{\sqrt{14}} (2\hat{i}+3\hat{j}+\hat{k}) = \frac{2}{\sqrt{14}}\hat{i}+\frac{3}{\sqrt{14}}\hat{j}+\frac{1}{\sqrt{14}}\hat{k},text:\textcolor{red}{\hat{b}} = \frac{1}{\sqrt{14}} (2\hat{i} + 3\hat{j} + \hat{k}) = \frac{2}{\sqrt{14}} \hat{i} + \frac{3}{\sqrt{14}} \hat{j} + \frac{1}{\sqrt{14}} \hat{k},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
113,True,True,0.5004024235381879,0.5004024235381879,R_1 \cap R_2,R_1 \cap R_2,r_1 \cap r_2,r_1 \cap r_2,sympy:r_{1}*(cap*r_{2}),sympy:r_{1}*(cap*r_{2}),display_math,display_math,False,True,False,False,False,False,False,False,False,True,False,False,False,False,medium,,,
129,False,False,1.6094379124341005,1.6094379124341005,\text{Percentage increase} = \frac{2}{4} \times 100 = 50\%,= \frac{\text{increase in the number of wins}}{\text{original number of wins}} \times 100 = \frac{2}{4} \times 100 = 50,percentage increase=\frac {2}{4}*100=50\%,=\frac {increase in the number of wins}{original number of wins}*100=\frac {2}{4}*100=50,text:percentage increase = \frac{2}{4} \times 100 = 50\%,text:= \frac{increase in the number of wins}{original number of wins} \times 100 = \frac{2}{4} \times 100 = 50,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
131,False,False,1.6094379124341005,1.3321790402101223,"\text{We know that values of } \cos x \text{ repeat after an interval of } 2\pi \text{ or } 360^\circ. \text{ Therefore}, \\
\cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(-1710^\circ + 1800^\circ) = \cos90^\circ = 0",\cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(\textcolor{red}{-1710^\circ + 1700^\circ}) = \cos(-1710^\circ + 1800^\circ) = \cos 90^\circ = 0.,"we know that values of \cos x repeat after an interval of 2\pi or 360^\circ . therefore,\cos (-1710^\circ )=\cos (-1710^\circ+5*360^\circ )=\cos (-1710^\circ+1800^\circ )=\cos 90^\circ=0",\cos (-1710^\circ )=\cos (-1710^\circ+5*360^\circ )=\cos (-1710^\circ+1700^\circ )=\cos (-1710^\circ+1800^\circ )=\cos 90^\circ=0,"text:we know that values of \cos x repeat after an interval of 2\pi or 360^\circ. therefore, \cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(-1710^\circ + 1800^\circ) = \cos90^\circ = 0",text:\cos(-1710^\circ) = \cos(-1710^\circ + 5 \times 360^\circ) = \cos(-1710^\circ + 1700^\circ) = \cos(-1710^\circ + 1800^\circ) = \cos 90^\circ = 0,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
133,False,False,1.6094379124341005,1.6094379124341005,= \lim_{y \to 1} \frac{\frac{1}{2} y - \frac{1}{2}}{1} = \frac{1}{2}(1)^{-1} = \frac{1}{2}.,= \lim_{y \to 1} \frac{\frac{1}{2} y^{-\frac{1}{2}}}{1} = \frac{1}{2} (1)^{-1} = \frac{1}{2}.,=\lim _{y \to 1} \frac {\frac {1}{2} y-\frac {1}{2}}{1}=\frac {1}{2}(1)^{-1}=\frac {1}{2},=\lim _{y \to 1} \frac {\frac {1}{2} y^{-\frac {1}{2}}}{1}=\frac {1}{2} (1)^{-1}=\frac {1}{2},text:= \lim_{y \to 1} \frac{\frac{1}{2} y - \frac{1}{2}}{1} = \frac{1}{2}(1)^{-1} = \frac{1}{2},text:= \lim_{y \to 1} \frac{\frac{1}{2} y^{-\frac{1}{2}}}{1} = \frac{1}{2} (1)^{-1} = \frac{1}{2},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
136,False,False,1.6094379124341005,1.3321790402101223,"2 \times (60 + 40) = 200 \, m","90,000",2*(60+40)=200 m,"90,000","sympy:eq(2*(40 + 60), 200*m)",sympy:90000,display_math,display_math,False,False,False,False,False,False,False,False,True,False,False,False,False,False,medium,,,
152,False,False,1.6094379124341005,1.6094379124341005,"\text{Hence,",d = \frac{|\textcolor{red}{\vec{b_3}} \times \textcolor{red}{\vec{b_4}} \cdot (\textcolor{red}{\vec{a_4}} - \textcolor{red}{\vec{a_3}})|}{|\textcolor{red}{\vec{b_3}} \times \textcolor{red}{\vec{b_4}}|} = \frac{|3 - 0 + 7|}{\sqrt{59}} = \frac{10}{\sqrt{59}},\text {hence,d=\frac {|\vec {b_3}*\vec {b_4}*(\vec {a_4}-\vec {a_3})|}{|\vec {b_3}*\vec {b_4}|}=\frac {|3-0+7|}{\sqrt {59}}=\frac {10}{\sqrt {59}},sympy:text,text:d = \frac{|\textcolor{red}{\vec{b_3}} \times \textcolor{red}{\vec{b_4}} \cdot (\textcolor{red}{\vec{a_4}} - \textcolor{red}{\vec{a_3}})|}{|\textcolor{red}{\vec{b_3}} \times \textcolor{red}{\vec{b_4}}|} = \frac{|3 - 0 + 7|}{\sqrt{59}} = \frac{10}{\sqrt{59}},last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
155,False,False,1.6094379124341005,1.6094379124341005,"\text{Thus,} \\
y &= \left[ \frac{1}{0}, \frac{-2}{5} \right].",Y = \begin{bmatrix} 1 & -2 \\ 0 & 5 \end{bmatrix}.,"thus,y &=[ \frac {1}{0},\frac {-2}{5} ]",y=\begin {bmatrix} 1 &-2 0 & 5 \end {bmatrix},sympy:t*(h*(s*u)),text:y = \begin{bmatrix} 1 -2 0 5 \end{bmatrix},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
161,False,False,1.0549201679861442,1.0549201679861442,"R \times R \times R = \{(x, y, z) : x, y, z \in R\}","\mathbb{R} \times \mathbb{R} \times \mathbb{R} = \{(x, y, \textcolor{red}{x}) : x, y, \textcolor{red}{x} \in \mathbb{R}\}","r*r*r={(x,y,z) : x,y,z \in r}","\mathbb {r}*\mathbb {r}*\mathbb {r}={(x,y,x) : x,y,x \in \mathbb {r}}","text:r \times r \times r = \{(x, y, z) : x, y, z \in r\}","text:\mathbb{r} \times \mathbb{r} \times \mathbb{r} = \{(x, y, x) : x, y, x \in \mathbb{r}\}",display_math,display_math,False,False,False,False,False,False,False,False,False,True,False,False,True,False,medium,,,
163,False,False,1.6094379124341005,1.6094379124341005,"Hence, \int (\log x \cdot 1) dx = log x \int 1dx - \int [-\frac{1}{x}(log x)] \int 1dx dx \\ = (log x)x - \int \frac{1}{x}dx = x(log x - x + C)","= (\log x) \cdot x - \int \frac{1}{x} \, dx = x \log x - x + C .","hence,\int (\log x*1) dx=log x \int 1dx-\int [-\frac {1}{x}(log x)] \int 1dx dx=(log x)x-\int \frac {1}{x}dx=x(log x-x+c)",=(\log x)*x-\int \frac {1}{x} dx=x \log x-x+c,sympy:h*(e*(n*(c*e))),"text:= (\log x) \cdot x - \int \frac{1}{x} \, dx = x \log x - x + c",last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
170,False,False,0.5004024235381879,0.5004024235381879,"Finally, (iv) matches (b)",(b),"finally,(iv) matches (b)",(b),"text:finally, (iv) matches (b)",sympy:b,last_line,display_math,True,False,False,False,False,True,True,False,True,False,False,False,False,False,medium,,,
174,False,False,1.0549201679861442,1.0549201679861442,\overrightarrow{OR} = \lambda\vec{b} - \vec{a} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - 2\vec{b})}{2-1},\overline{OR} = \textcolor{red}{4\vec{b} - \vec{a} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - 2\vec{b})}{2 - 1}},\overrightarrow {or}=\lambda \vec {b}-\vec {a}=\frac {2(\vec {a}+\vec {b})-(3\vec {a}-2\vec {b})}{2-1},\overline {or}=4\vec {b}-\vec {a}=\frac {2(\vec {a}+\vec {b})-(3\vec {a}-2\vec {b})}{2-1},text:\overrightarrow{or} = \lambda\vec{b} - \vec{a} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - 2\vec{b})}{2-1},"sympy:eq(conjugate(o*r), textcolor*(r*(d*e)))",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
175,False,False,1.6094379124341005,1.6094379124341005,= \begin{bmatrix} -1 & 5 & \frac{3}{6} \\ \end{bmatrix}.,= \begin{bmatrix} -1 & 5 & 3 \\ 5 & 6 & 0 \end{bmatrix}.,=\begin {bmatrix}-1 & 5 & \frac {3}{6} \end {bmatrix},=\begin {bmatrix}-1 & 5 & 3 5 & 6 & 0 \end {bmatrix},text:= \begin{bmatrix} -1 5 \frac{3}{6} \end{bmatrix},text:= \begin{bmatrix} -1 5 3 5 6 0 \end{bmatrix},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
187,False,False,0.9502705392332347,0.9502705392332347,"X \cup Y = \{ Ram, Geeta, Akbar, David, Ashok \}","X \cup Y = \{ \text{Ram, Geeta, Akbar, David, \textcolor{red}{Ashok}}","x \cup y={ ram,geeta,akbar,david,ashok }","x \cup y={ ram,geeta,akbar,david,ashok","text:x \cup y = \{ ram, geeta, akbar, david, ashok \}","text:x \cup y = \{ \text{ram, geeta, akbar, david, ashok}",display_math,display_math,False,False,False,False,False,False,False,False,False,True,False,False,True,False,medium,,,
194,True,True,0.0,0.6730116670092565,"(a,c) \in R","(a,c) \in R","(a,c) \in r","(a,c) \in r","text:(a,c) \in r","text:(a,c) \in r",display_math,display_math,False,True,False,False,False,False,False,False,True,True,False,False,False,False,medium,,,
202,False,False,1.6094379124341005,1.6094379124341005,"Therefore, the function f is increasing on R",\mathbb{R},"therefore,the function f is increasing on r",\mathbb {r},"text:therefore, the function f is increasing on r",sympy:mathbb*r,last_line,display_math,False,False,False,False,False,False,False,False,True,False,False,False,True,False,medium,,,
211,False,False,1.6094379124341005,1.6094379124341005,7\hat{a} = 7\left( \frac{1}{\sqrt{5}}\hat{i} - \frac{2}{\sqrt{5}}\hat{j} \right) = \frac{7}{\sqrt{5}}\hat{i} - \frac{14}{\sqrt{5}}\hat{j}.,7\hat{a} = 7 \left( \frac{1}{\sqrt{5}} \hat{i} - \frac{2}{\sqrt{5}} \hat{j} \right) = \frac{7}{\sqrt{5}} \hat{i} - \frac{14}{\sqrt{5}} \hat{j} \textcolor{red}{\text{ cm}}.,7\hat {a}=7 ( \frac {1}{\sqrt {5}}\hat {i}-\frac {2}{\sqrt {5}}\hat {j} )=\frac {7}{\sqrt {5}}\hat {i}-\frac {14}{\sqrt {5}}\hat {j},7\hat {a}=7 ( \frac {1}{\sqrt {5}} \hat {i}-\frac {2}{\sqrt {5}} \hat {j} )=\frac {7}{\sqrt {5}} \hat {i}-\frac {14}{\sqrt {5}} \hat {j} cm,text:7\hat{a} = 7( \frac{1}{\sqrt{5}}\hat{i} - \frac{2}{\sqrt{5}}\hat{j} ) = \frac{7}{\sqrt{5}}\hat{i} - \frac{14}{\sqrt{5}}\hat{j},text:7\hat{a} = 7 ( \frac{1}{\sqrt{5}} \hat{i} - \frac{2}{\sqrt{5}} \hat{j} ) = \frac{7}{\sqrt{5}} \hat{i} - \frac{14}{\sqrt{5}} \hat{j} cm,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
220,False,False,1.6094379124341005,1.6094379124341005,"\{(x, y, z) : (x, y, z \in R) \}","\mathbb{R} \times \mathbb{R} \times \mathbb{R} = \{(x, y, z) : x, y, \textcolor{red}{z} \in \mathbb{R}\}","{(x,y,z) : (x,y,z \in r) }","\mathbb {r}*\mathbb {r}*\mathbb {r}={(x,y,z) : x,y,z \in \mathbb {r}}","text:\{(x, y, z) : (x, y, z \in r) \}","text:\mathbb{r} \times \mathbb{r} \times \mathbb{r} = \{(x, y, z) : x, y, z \in \mathbb{r}\}",display_math,display_math,False,False,False,False,False,False,False,False,True,True,False,False,True,False,medium,,,
221,False,False,0.9502705392332347,0.9502705392332347,"Therefore, Number of boys = 15",\textcolor{red}{\text{Number of boys}} = \textcolor{red}{15},"therefore,number of boys=15",number of boys=15,"text:therefore, number of boys = 15",text:number of boys = 15,last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
228,False,False,1.6094379124341005,1.6094379124341005,& \quad \quad \frac{1}{M_{1}} \times \frac{1}{M_{2}} = -1 \implies \frac{1}{M_{1}} \times \frac{1}{M_{2}} = -1 \text{ or } x = -6,\frac{1}{3} \times \frac{12}{x - 8} = -1 \quad \text{or} \quad x = 4.,& \frac {1}{m_{1}}*\frac {1}{m_{2}}=-1 \implies \frac {1}{m_{1}}*\frac {1}{m_{2}}=-1 or x=-6,\frac {1}{3}*\frac {12}{x-8}=-1 or x=4,text:\frac{1}{m_{1}} \times \frac{1}{m_{2}} = -1 \implies \frac{1}{m_{1}} \times \frac{1}{m_{2}} = -1 or x = -6,text:\frac{1}{3} \times \frac{12}{x - 8} = -1 or x = 4,last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
231,False,False,1.6094379124341005,1.6094379124341005,\frac{1}{|\vec{b}|}(\vec{a}.\vec{b}) = \frac{10}{\sqrt{6}} = \frac{5}{3}\sqrt{6},\frac{1}{|\vec{b}|} (\vec{a} \cdot \vec{b}) = \frac{10}{\sqrt{6}} = \frac{5}{3}\sqrt{6},\frac {1}{|\vec {b}|}(\vec {a}.\vec {b})=\frac {10}{\sqrt {6}}=\frac {5}{3}\sqrt {6},\frac {1}{|\vec {b}|} (\vec {a}*\vec {b})=\frac {10}{\sqrt {6}}=\frac {5}{3}\sqrt {6},sympy:1/abs(b*vec),text:\frac{1}{|\vec{b}|} (\vec{a} \cdot \vec{b}) = \frac{10}{\sqrt{6}} = \frac{5}{3}\sqrt{6},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
235,False,False,1.3321790402101223,1.6094379124341005,\overrightarrow{OR} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - 2\vec{b})}{2-1} = 5\vec{b} - \vec{a}.,\overline{OR} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - \textcolor{red}{3}\vec{b})}{2 - 1} = \textcolor{red}{5\vec{b}} - \vec{a},\overrightarrow {or}=\frac {2(\vec {a}+\vec {b})-(3\vec {a}-2\vec {b})}{2-1}=5\vec {b}-\vec {a},\overline {or}=\frac {2(\vec {a}+\vec {b})-(3\vec {a}-3\vec {b})}{2-1}=5\vec {b}-\vec {a},text:\overrightarrow{or} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - 2\vec{b})}{2-1} = 5\vec{b} - \vec{a},text:\overline{or} = \frac{2(\vec{a} + \vec{b}) - (3\vec{a} - 3\vec{b})}{2 - 1} = \textcolor{red}{5\vec{b}} - \vec{a},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
236,False,False,1.3321790402101223,1.3321790402101223,-2 \times 5 = 10 = \frac{\text{constant term}}{1},\text{product of zeroes} = (-2) \times (-5) = 10 = \frac{\text{Constant term}}{1} \text{ (Coefficient of } \textcolor{red}{y}^2\text{)}.,<parse_failure>,product of zeroes=(-2)*(-5)=10=\frac {constant term}{1} (coefficient of y^2),text:-2 \times 5 = 10 = \frac{constant term}{1},text:product of zeroes = (-2) \times (-5) = 10 = \frac{constant term}{1} (coefficient of y^2),display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
249,False,False,0.9502705392332347,0.5004024235381879,\frac{d}{dx}(a^x) = a^x \log a,\frac{d}{dx}(a^x) = a^x \textcolor{red}{x \log a},\frac {d}{dx}(a^x)=a^x \log a,\frac {d}{dx}(a^x)=a^x x \log a,"sympy:eq(derivative(a**x, x), a**x*log(a, e))","sympy:eq(derivative(a**x, x), a**x*(x*log(a, e)))",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,True,False,False,medium,,,
251,False,False,1.3321790402101223,1.3321790402101223,"\{1, -2\}","\{\textcolor{red}{y}, -2\}","{1,-2}","{y,-2}","text:\{1, -2\}","text:\{y, -2\}",display_math,display_math,False,False,False,False,False,False,False,False,True,True,False,False,False,False,medium,,,
253,False,False,1.6094379124341005,1.6094379124341005,\dfrac{dy}{dx} = \dfrac{\dfrac{dy}{d\theta}}{\dfrac{dx}{d\theta}} = \dfrac{3a\sin^{5}\theta\cos\theta}{-3a\cos^{5}\theta\sin\theta} = -\tan\theta = -\dfrac{3\sqrt{y}}{x},\frac{dy}{dx} = \frac{dy/d\theta}{dx/d\theta} = \frac{3a \sin^2 \theta \cos \theta}{-3a \cos^2 \theta \sin \theta} = -\tan \theta = -\frac{\sqrt[3]{y}}{x},\dfrac {dy}{dx}=\dfrac {\dfrac {dy}{d\theta }}{\dfrac {dx}{d\theta }}=\dfrac {3a\sin ^{5}\theta \cos \theta }{-3a\cos ^{5}\theta \sin \theta }=-\tan \theta=-\dfrac {3\sqrt {y}}{x},\frac {dy}{dx}=\frac {dy/d\theta }{dx/d\theta }=\frac {3a \sin ^2 \theta \cos \theta }{-3a \cos ^2 \theta \sin \theta }=-\tan \theta=-\frac {\sqrt [3]{y}}{x},text:\dfrac{dy}{dx} = \dfrac{\dfrac{dy}{d\theta}}{\dfrac{dx}{d\theta}} = \dfrac{3a\sin^{5}\theta\cos\theta}{-3a\cos^{5}\theta\sin\theta} = -\tan\theta = -\dfrac{3\sqrt{y}}{x},text:\frac{dy}{dx} = \frac{dy/d\theta}{dx/d\theta} = \frac{3a \sin^2 \theta \cos \theta}{-3a \cos^2 \theta \sin \theta} = -\tan \theta = -\frac{\sqrt[3]{y}}{x},display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,True,True,False,medium,,,
262,False,False,1.6094379124341005,1.6094379124341005,= 7 + 84 + 210 + 140 + 1 = 442,\binom{4}{3} \times \binom{7}{2} + \binom{4}{4} \times \binom{7}{1} = 84 + 7 = 91,=7+84+210+140+1=442,\binom {4}{3}*\binom {7}{2}+\binom {4}{4}*\binom {7}{1}=84+7=91,text:= 7 + 84 + 210 + 140 + 1 = 442,text:\binom{4}{3} \times \binom{7}{2} + \binom{4}{4} \times \binom{7}{1} = 84 + 7 = 91,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
278,False,False,1.3321790402101223,1.3321790402101223,\frac{12.5}{2.5} = \frac{125}{25} = 5,\text{Number of sides} = \frac{12.5}{2.5} = \frac{125}{25} = 5,\frac {12.5}{2.5}=\frac {125}{25}=5,number of sides=\frac {12.5}{2.5}=\frac {125}{25}=5,text:\frac{12.5}{2.5} = \frac{125}{25} = 5,text:number of sides = \frac{12.5}{2.5} = \frac{125}{25} = 5,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
279,False,False,1.3321790402101223,1.3321790402101223,The polygon has 6 sides,\text{Number of sides} = \frac{12.5}{2.5} = \frac{125}{25} = 5,the polygon has 6 sides,number of sides=\frac {12.5}{2.5}=\frac {125}{25}=5,text:the polygon has 6 sides,text:number of sides = \frac{12.5}{2.5} = \frac{125}{25} = 5,last_line,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
287,False,False,1.6094379124341005,1.6094379124341005,= -\frac{1}{3}\tan^{-1}(x) + \frac{2}{3}\tan^{-1}\left(\frac{5}{2}\right) + C,= -\frac{1}{3} \tan^{-1}(x) + \frac{2}{3} \tan^{-1}\left(\frac{x}{2}\right) + C,=-\frac {1}{3}\tan ^{-1}(x)+\frac {2}{3}\tan ^{-1} (\frac {5}{2} )+c,=-\frac {1}{3} \tan ^{-1}(x)+\frac {2}{3} \tan ^{-1} (\frac {x}{2} )+c,text:= -\frac{1}{3}\tan^{-1}(x) + \frac{2}{3}\tan^{-1}(\frac{5}{2}) + c,text:= -\frac{1}{3} \tan^{-1}(x) + \frac{2}{3} \tan^{-1}(\frac{x}{2}) + c,display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
290,False,False,1.3321790402101223,0.9502705392332347,"\left(0, -\frac{13}{3}\right).","\left( 0, -\frac{13}{3} \right).","(0,-\frac {13}{3} )","( 0,-\frac {13}{3} )","text:(0, -\frac{13}{3})","text:( 0, -\frac{13}{3} )",display_math,display_math,False,False,False,False,False,False,False,False,True,False,False,False,False,False,medium,,,
296,False,False,1.3321790402101223,0.9502705392332347,"\int_{0}^{\pi} \log \sin t \, dt = -\pi \log 2","\int_0^{\frac{\pi}{2}} \log \sin x \, dx = -\frac{\pi}{2} \log 2.",\int _{0}^{\pi } \log \sin t dt=-\pi \log 2,\int _0^{\frac {\pi }{2}} \log \sin x dx=-\frac {\pi }{2} \log 2,"sympy:eq(integral(log(sin(t), e), (t, 0, pi)), -pi*log(2, e))","sympy:eq(integral(log(sin(x), e), (x, 0, pi/2)), -pi/2*log(2, e))",display_math,display_math,False,False,False,False,False,False,False,False,False,False,False,False,True,False,medium,,,
3,True,True,0.9502705392332347,0.9502705392332347,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
5,True,True,0.0,0.0,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
6,True,True,0.0,0.0,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
11,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
14,False,False,1.3321790402101223,1.3321790402101223,①,\Rightarrow x = 4.5,①,\rightarrow x=4.5,text:①,text:\rightarrow x = 4.5,boxed,display_math,True,False,False,False,False,False,True,False,False,False,False,False,False,False,low,,,
18,True,True,0.5004024235381879,0.5004024235381879,option c,option c,option c,option c,text:option c,text:option c,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
25,False,False,1.3321790402101223,1.3321790402101223,2x = 10,option d,2x=10,option d,"sympy:eq(2*x, 10)",text:option d,display_math,option,True,False,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
28,True,True,0.9502705392332347,0.9502705392332347,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
29,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
42,True,True,0.0,0.0,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
44,True,True,0.0,0.0,option a,option a,option a,option a,text:option a,text:option a,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
46,True,True,0.0,0.0,option d,option d,option d,option d,text:option d,text:option d,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
48,True,True,0.5004024235381879,0.5004024235381879,option b,option b,option b,option b,text:option b,text:option b,option,option,True,True,False,False,False,True,False,False,False,False,False,False,False,False,low,,,
